id,Focus Area,Target Crash,Area Type,CountermeasureID,Countermeasure,Proven Countermeasure,CMF,Crash Severity,Road Type,Star Quality,Min AADT,Max AADT,Min Num Lanes,Max Num Lane,Cost,Service Life,Implementation Time,ContributingFactors,SSA ,AASHTO
1,Speeding/Aggressive Driving,Overtaking,Urban,treat007,Four to five lane conversion,,1.11,All,Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
1,Speeding/Aggressive Driving,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.11,All,Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Distracted driving, tailgating, sudden stops, malfunctioning brakes",Safer People,Safer Drivers and Passengers
1,Older Drivers,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.11,All,Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Stop-and-go traffic, slower reaction time, inadequate road marking",Safer People,Safer Drivers and Passengers
1,Young driver,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.11,All,Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Signalized intersection, Urban, high traffic volume, wet surface",Safer People,Safer Drivers and Passengers
2,Speeding/Aggressive Driving,Overtaking,Urban,treat007,Four to five lane conversion,,1.1,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
2,Speeding/Aggressive Driving,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.1,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Distracted driving, tailgating, sudden stops, malfunctioning brakes",Safer People,Safer Drivers and Passengers
2,Older Drivers,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.1,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Stop-and-go traffic, slower reaction time, inadequate road marking",Safer People,Safer Drivers and Passengers
2,Young driver,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.1,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Signalized intersection, Urban, high traffic volume, wet surface",Safer People,Safer Drivers and Passengers
3,Speeding/Aggressive Driving,Overtaking,Urban,treat007,Four to five lane conversion,,1.11,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
3,Speeding/Aggressive Driving,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.11,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Distracted driving, tailgating, sudden stops, malfunctioning brakes",Safer People,Safer Drivers and Passengers
3,Older Drivers,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.11,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Stop-and-go traffic, slower reaction time, inadequate road marking",Safer People,Safer Drivers and Passengers
3,Young driver,Rear-end collision,Urban,treat007,Four to five lane conversion,,1.11,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,5,79000,128000,4,4,TBD,TBD,TBD,"Signalized intersection, Urban, high traffic volume, wet surface",Safer People,Safer Drivers and Passengers
4,Speeding/Aggressive Driving,Overtaking,Urban,treat008,Five to six lane conversion,,1.03,All,Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
4,Speeding/Aggressive Driving,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.03,All,Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Distracted driving, tailgating, sudden stops, malfunctioning brakes",Safer People,Safer Drivers and Passengers
4,Older Drivers,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.03,All,Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Stop-and-go traffic, slower reaction time, inadequate road marking",Safer People,Safer Drivers and Passengers
4,Young driver,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.03,All,Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Signalized intersection, Urban, high traffic volume, wet surface",Safer People,Safer Drivers and Passengers
5,Speeding/Aggressive Driving,Overtaking,Urban,treat008,Five to six lane conversion,,1.04,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
5,Speeding/Aggressive Driving,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.04,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Distracted driving, tailgating, sudden stops, malfunctioning brakes",Safer People,Safer Drivers and Passengers
5,Older Drivers,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.04,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Stop-and-go traffic, slower reaction time, inadequate road marking",Safer People,Safer Drivers and Passengers
5,Young driver,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.04,"A (serious injury),B (minor injury),C (possible injury),O (property damage only)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Signalized intersection, Urban, high traffic volume, wet surface",Safer People,Safer Drivers and Passengers
6,Speeding/Aggressive Driving,Overtaking,Urban,treat008,Five to six lane conversion,,1.07,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
6,Speeding/Aggressive Driving,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.07,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Distracted driving, tailgating, sudden stops, malfunctioning brakes",Safer People,Safer Drivers and Passengers
6,Older Drivers,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.07,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Stop-and-go traffic, slower reaction time, inadequate road marking",Safer People,Safer Drivers and Passengers
6,Young driver,Rear-end collision,Urban,treat008,Five to six lane conversion,,1.07,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Principal Arterial Other Freeways and Expressways,4,77000,126000,5,5,TBD,TBD,TBD,"Signalized intersection, Urban, high traffic volume, wet surface",Safer People,Safer Drivers and Passengers
7,Impaired Driving,Single vehicle ,Urban and Suburban,treat057,Increase in horizontal curvature by one degree,No,1.04,O (property damage only),Not specified,4,,,NA,NA,TBD,TBD,TBD,"Wet surface, fatigue, older driver",Safer People,Safer Drivers and Passengers
8,Impaired Driving,Single vehicle ,Urban and Suburban,treat057,Increase in horizontal curvature by one degree,,1.06,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not specified,4,,,NA,NA,TBD,TBD,TBD,"Wet surface, fatigue, older driver",Safer People,Safer Drivers and Passengers
9,Impaired Driving,Single vehicle ,Urban and Suburban,treat057,Increase in horizontal curvature by one degree,,1.05,All,Not specified,5,,,NA,NA,TBD,TBD,TBD,"Wet surface, fatigue, older driver",Safer People,Safer Drivers and Passengers
10,Young driver,Lane departure,Rural,treat136,"Install snowplowable, permanent raised pavement markers (Radius greater than 1640 ft)",,1.16,All,Not Specified,5,0,5000,2,2,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
11,Young driver,Lane departure,Rural,treat137,"Install snowplowable, permanent raised pavement markers (Radius less than or equal to 1640 ft)",,1.43,All,Not Specified,5,0,5000,2,2,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
12,Young driver,Lane departure,Rural,treat136,"Install snowplowable, permanent raised pavement markers (Radius greater than 1640 ft)",,0.99,All,Not Specified,4,5001,15000,2,2,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
13,Young driver,Lane departure,Rural,treat137,"Install snowplowable, permanent raised pavement markers (Radius less than or equal to 1640 ft)",,1.26,All,Not Specified,5,5001,15000,2,2,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
14,Young driver,Lane departure,Rural,treat136,"Install snowplowable, permanent raised pavement markers (Radius greater than 1640 ft)",,0.76,All,Not Specified,5,15001,20000,2,2,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
15,Young driver,Lane departure,Rural,treat137,"Install snowplowable, permanent raised pavement markers (Radius less than or equal to 1640 ft)",,1.03,All,Not Specified,4,15001,20000,2,2,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
16,Young driver,Lane departure,Rural,treat138,"Install snowplowable, permanent raised pavement markers",,1.13,All,Principal Arterial Other Freeways and Expressways,4,0,20000,4,4,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
17,Young driver,Lane departure,Rural,treat138,"Install snowplowable, permanent raised pavement markers",,0.94,All,Principal Arterial Other Freeways and Expressways,4,20001,60000,4,4,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
18,Young driver,Lane departure,Rural,treat138,"Install snowplowable, permanent raised pavement markers",,0.67,All,Principal Arterial Other Freeways and Expressways,4,60001,,4,4,TBD,TBD,TBD,"Rural two lane, dry surface",Safer People,Safer Drivers and Passengers
19,Distracted Driving,Head-on collision,Rural,treat035,Install centerline rumble strips,,0.86,All,Principle Arterial Other,4,5000,22000,2,2,TBD,TBD,TBD,"Two lane rural road, texting, inattention, poor visibility, reaction time ",Safer People,Safer Drivers and Passengers
20,Distracted Driving,Head-on collision,Rural,treat035,Install centerline rumble strips,,0.85,"A (serious injury),B (minor injury),C (possible injury)",Principle Arterial Other,4,5000,22000,2,2,TBD,TBD,TBD,"Two lane rural road, texting, inattention, poor visibility, reaction time ",Safer People,Safer Drivers and Passengers
21,Distracted Driving,Head-on collision,Rural,treat035,Install centerline rumble strips,,0.79,All,Principle Arterial Other,4,5000,22000,2,2,TBD,TBD,TBD,"Two lane rural road, texting, inattention, poor visibility, reaction time ",Safer People,Safer Drivers and Passengers
22,Distracted Driving,Head-on collision,Rural,treat035,Install centerline rumble strips,,0.75,"A (serious injury),B (minor injury),C (possible injury)",Principle Arterial Other,4,5000,22000,2,2,TBD,TBD,TBD,"Two lane rural road, texting, inattention, poor visibility, reaction time ",Safer People,Safer Drivers and Passengers
28,Speeding/Aggressive Driving,Overtaking,Urban,treat009,Road diet (Convert 4-lane undivided road to 2-lanes plus turning lane),,0.71,All,Minor Arterial,5,,,4,4,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
28,Speeding/Aggressive Driving,Rear-end collision,Urban,treat009,Road diet (Convert 4-lane undivided road to 2-lanes plus turning lane),,0.71,All,Minor Arterial,5,,,4,4,TBD,TBD,TBD,"Distracted driving, tailgating, sudden stops, malfunctioning brakes",Safer People,Safer Drivers and Passengers
